R,R,R,R,R,R,R
E,B,R,C,A,R,NE
E,R,NE,R,C,B,A
E,R,NE,A,B,C,R
R,B,E,C,A,C,NE
E,B,NE,C,R,C,A
NE,B,E,C,A,C,R
R,R,R,R,R,R,R
R,R,E,A,C,B,NE
A,NE,E,C,R,B,A
A,E,NE,R,B,C,A
E,R,NE,C,A,B,A
NE,R,E,A,B,C,R
E,NE,B,C,A,R,R
R,R,R,R,R,R,R
E,R,B,A,C,R,NE
E,NE,B,A,R,C,R
R,NE,E,C,A,B,R
E,R,NE,C,A,B,R
NE,R,E,R,C,B,A
E,B,R,A,R,C,NE
R,R,R,R,R,R,R
R,E,NE,C,R,B,A
NE,R,E,A,B,C,R
E,R,R,C,A,B,NE
E,R,NE,A,B,C,R
E,NE,R,R,B,C,A
E,NE,B,C,R,R,A
R,R,R,R,R,R,R
NE,R,E,A,B,C,R
E,R,NE,C,A,B,R
