HALL OF FAME
5:['A', 'R', 'NE', 'E', 'R', 'C', 'B']
6:['R', 'NE', 'E', 'R', 'C', 'A', 'B']
7:['R', 'R', 'R', 'R', 'R', 'R', 'R']
8:['NE', 'E', 'R', 'B', 'C', 'A', 'R']
9:['A', 'R', 'NE', 'E', 'C', 'B', 'R']
10:['B', 'R', 'NE', 'E', 'A', 'C', 'R']
11:['NE', 'E', 'R', 'A', 'B', 'R', 'C']
12:['B', 'R', 'E', 'R', 'A', 'NE', 'C']
13:['E', 'R', 'NE', 'C', 'A', 'R', 'B']
14:['R', 'R', 'R', 'R', 'R', 'R', 'R']
15:['C', 'R', 'NE', 'E', 'B', 'A', 'R']
16:['NE', 'R', 'E', 'B', 'A', 'R', 'C']
17:['C', 'A', 'E', 'NE', 'R', 'R', 'B']
18:['R', 'E', 'B', 'NE', 'A', 'R', 'C']
19:['A', 'R', 'NE', 'E', 'R', 'C', 'B']
20:['A', 'NE', 'E', 'R', 'C', 'R', 'B']
21:['R', 'R', 'R', 'R', 'R', 'R', 'R']
22:['A', 'R', 'NE', 'E', 'C', 'B', 'R']
23:['A', 'R', 'NE', 'E', 'C', 'R', 'B']
24:['A', 'R', 'E', 'NE', 'C', 'B', 'R']
25:['R', 'B', 'E', 'NE', 'A', 'R', 'C']
26:['B', 'R', 'NE', 'E', 'A', 'R', 'C']
27:['NE', 'R', 'B', 'E', 'A', 'R', 'C']
28:['R', 'R', 'R', 'R', 'R', 'R', 'R']
29:['R', 'R', 'NE', 'E', 'A', 'C', 'B']
[21, 10, 21, 21, 21, 12, 19]
[1.19, 1.21, 1.54, 1.4, 1.32, 0.96, 1.06]

HALL OF FAME
Schedule(fitness=500.36656162465)
1:['R', 'NE', 'E', 'R', 'B', 'A', 'C']
2:['NE', 'B', 'E', 'R', 'A', 'R', 'C']
3:['A', 'B', 'E', 'NE', 'R', 'R', 'C']
4:['NE', 'R', 'E', 'B', 'A', 'R', 'C']
5:['C', 'E', 'R', 'NE', 'R', 'A', 'B']
6:['NE', 'B', 'R', 'E', 'A', 'R', 'C']
7:['R', 'R', 'R', 'R', 'R', 'R', 'R']
8:['B', 'R', 'NE', 'E', 'A', 'C', 'R']
9:['E', 'R', 'NE', 'C', 'A', 'B', 'R']
10:['A', 'R', 'NE', 'E', 'C', 'B', 'R']
11:['NE', 'R', 'E', 'R', 'A', 'B', 'C']
12:['B', 'NE', 'E', 'R', 'A', 'R', 'C']
13:['R', 'R', 'E', 'NE', 'A', 'C', 'B']
14:['R', 'R', 'R', 'R', 'R', 'R', 'R']
15:['NE', 'R', 'R', 'E', 'C', 'B', 'A']
16:['NE', 'R', 'R', 'E', 'A', 'C', 'B']
17:['E', 'A', 'R', 'NE', 'C', 'R', 'B']
18:['R', 'E', 'B', 'NE', 'A', 'R', 'C']
19:['NE', 'R', 'E', 'A', 'R', 'C', 'B']
20:['R', 'NE', 'E', 'A', 'C', 'R', 'B']
21:['R', 'R', 'R', 'R', 'R', 'R', 'R']
22:['B', 'R', 'E', 'NE', 'A', 'C', 'R']
23:['B', 'R', 'E', 'NE', 'A', 'R', 'C']
24:['NE', 'R', 'B', 'E', 'A', 'R', 'C']
25:['B', 'A', 'E', 'NE', 'R', 'R', 'C']
