E,NE,B,A,R,R,C,R,R,R
R,R,R,R,R,R,R,R,R,R
E,B,C,A,NE,R,R,R,R,R
R,E,C,B,A,R,R,NE,R,R
A,NE,R,R,C,E,B,R,R,R
R,R,C,B,A,E,R,R,NE,R
B,E,C,A,R,R,R,NE,R,R
E,NE,B,C,R,R,A,R,R,R
R,R,R,R,R,R,R,R,R,R
E,NE,C,B,A,R,R,R,R,R
R,E,C,A,R,R,B,NE,R,R
B,NE,C,R,A,E,R,R,R,R
R,R,C,A,NE,E,B,R,R,R
A,E,R,C,B,R,NE,R,R,R
E,A,NE,C,B,R,R,R,R,R
R,R,R,R,R,R,R,R,R,R
E,A,C,R,NE,R,B,R,R,R
R,E,C,B,NE,R,A,R,R,R
A,E,R,C,NE,NE,R,R,B,R
R,NE,C,A,R,NE,B,E,R,R
A,R,R,C,NE,R,B,R,E,R
E,NE,C,A,B,R,R,R,R,R
R,R,R,R,R,R,R,R,R,R
B,E,A,C,NE,R,R,R,R,R
R,R,C,A,NE,R,E,R,R,B
E,B,R,C,A,NE,R,R,R,R
R,E,A,C,R,NE,B,R,R,R
E,A,R,C,NE,R,R,R,B,R
E,A,C,R,NE,R,B,R,R,R
R,R,R,R,R,R,R,R,R,R
E,B,A,C,NE,R,R,R,R,R
