E,R,A,C,R,R,R,NE,B,R
E,B,A,R,C,R,R,R,R,NE
R,NE,E,A,C,R,B,R,R,R
R,A,E,C,R,R,R,NE,R,B
R,NE,B,C,A,E,R,R,R,R
R,R,R,R,C,E,B,R,NE,A
E,NE,A,C,R,R,B,R,R,R
E,R,NE,C,R,R,B,R,R,A
R,R,R,R,R,R,R,R,R,R
A,R,E,B,C,R,R,NE,R,R
R,R,R,C,A,R,E,R,B,NE
NE,A,R,R,C,E,R,R,B,R
R,R,R,C,B,E,R,NE,R,A
E,A,NE,R,C,R,R,R,R,B
E,NE,A,C,R,R,B,R,R,R
R,A,E,R,C,R,B,R,R,NE
E,NE,R,C,B,R,R,R,R,A
R,B,E,A,C,R,R,R,R,NE
E,R,R,A,NE,NE,B,C,R,R
R,NE,E,C,R,NE,R,R,B,A
B,R,E,C,A,R,R,R,NE,R
E,B,R,R,A,R,C,R,R,NE
E,R,B,C,R,R,R,NE,R,A
R,A,E,C,R,R,B,R,NE,R
R,A,E,B,C,R,R,R,NE,R
A,B,E,R,C,NE,R,R,R,R
R,A,E,C,R,NE,R,R,B,R
E,B,R,C,A,R,R,NE,R,R
E,A,NE,R,C,R,R,R,B,R
B,NE,E,C,R,R,R,R,R,A
E,A,NE,C,R,R,R,R,R,B
