A,E,C,B,R,R,R,NE,R,R
R,R,R,R,R,R,R,R,R,R
E,NE,B,C,A,R,R,R,R,R
R,A,C,E,NE,R,B,R,R,R
A,NE,C,R,B,E,R,R,R,R
R,NE,R,C,A,E,B,R,R,R
E,NE,A,C,R,R,B,R,R,R
E,R,C,A,R,R,R,NE,B,R
R,R,R,R,R,R,R,R,R,R
A,NE,C,R,B,R,E,R,R,R
R,E,C,A,B,R,R,R,NE,R
R,B,A,C,NE,E,R,R,R,R
R,R,C,A,NE,E,B,R,R,R
C,E,R,A,NE,R,B,R,R,R
E,NE,A,C,R,R,B,R,R,R
R,R,R,R,R,R,R,R,R,R
NE,E,C,A,B,R,R,R,R,R
R,R,C,A,E,R,R,NE,B,R
B,E,R,A,NE,NE,C,R,R,R
R,NE,C,A,R,NE,B,E,R,R
E,A,R,R,NE,R,C,R,B,R
E,NE,A,C,B,R,R,R,R,R
R,R,R,R,R,R,R,R,R,R
E,A,C,R,B,R,R,NE,R,R
R,E,C,A,NE,R,B,R,R,R
E,C,R,A,B,NE,R,R,R,R
R,E,A,C,R,NE,B,R,R,R
A,E,R,C,NE,R,R,R,B,R
E,R,C,NE,A,R,B,R,R,R
R,R,R,R,R,R,R,R,R,R
NE,E,C,A,B,R,R,R,R,R
